cell_type,region_a,region_b,kf,kn,omega
Astrocyte,Human A13,Human VLN,0.20236434677827114,0.0013154023159893682,153.84217004822938
Astrocyte,Human A13,Human VPL,0.20724641993112766,0.004427124390125822,46.81287482984809
Astrocyte,Human A14,Human A19,0.020561594356677686,0.0005397035146787197,38.097944144235946
Astrocyte,Human A14,Human A1C,0.03144524974782689,0.0008569473340944312,36.69449509526309
Astrocyte,Human A14,Human A23,0.025298079353471517,0.000587129706676269,43.087718209121974
Astrocyte,Human A14,Human A24,0.022124095677459658,0.0005313696159263153,41.63598183703374
Astrocyte,Human A14,Human A25,0.014038696169736116,0.00043272331948221443,32.44266148294124
Astrocyte,Human A14,Human A29-A30,0.04850352177258334,0.0024717830297486783,19.622888088812147
Astrocyte,Human A14,Human A32,0.020624700746034178,0.00041685624679045424,49.47677024113741
Astrocyte,Human A14,Human A35-36,0.05876234137616277,0.0032424158094911887,18.123012231853128
Astrocyte,Human A14,Human A35-A36,0.019441057752574684,0.0005533459887906411,35.13363816924717
Astrocyte,Human A14,Human A35r,0.05485166521549684,0.0009852039884484225,55.675439663903106
Astrocyte,Human A14,Human A38,0.02800145509996129,0.00044523859763600674,62.890897708857565
Astrocyte,Human A14,Human A40,0.016337825057665983,0.000761499047891421,21.45482007220517
Astrocyte,Human A14,Human A43,0.022619585235368517,0.0005596903535851777,40.41446326611757
Astrocyte,Human A14,Human A44-A45,0.02436868290713815,0.0005591193062986517,43.58404840007743
Astrocyte,Human A14,Human A46,0.028585584280594458,0.0005904881605973156,48.4100887843007
Astrocyte,Human A14,Human A5-A7,0.019960028865559122,0.0006167540537142395,32.36302825308579
Astrocyte,Human A14,Human ANC,0.188009455847932,0.0012477040935242587,150.6843303822795
Astrocyte,Human A14,Human AON,0.014589260219510238,0.00043868847866370406,33.25653836168849
Astrocyte,Human A14,Human BL,0.0700873910750687,0.0010363984715342752,67.62591126877285
Astrocyte,Human A14,Human BM,0.05739982268884866,0.0007207178237721725,79.64257410538723
Astrocyte,Human A14,Human BNST,0.12145376365347085,0.0008736110078163069,139.02499232130646
Astrocyte,Human A14,Human CA1-3,0.057484768197480954,0.0013382423986829073,42.95542291445648
Astrocyte,Human A14,Human CA1C-CA3C,0.06755213954337605,0.0008102357105740272,83.37344140943557
Astrocyte,Human A14,Human CA1R-CA2R,0.05660707570084213,0.0007053569718975384,80.25308879922007
Astrocyte,Human A14,Human CA1R-CA2R-CA3R,0.08405422571237728,0.0022752528132730415,36.94280706831077
Astrocyte,Human A14,Human CA1U,0.06875626496016007,0.0007105757128892285,96.7613495831351
Astrocyte,Human A14,Human CA1U-CA2U-CA3U,0.10352738459076152,0.002543865813127307,40.69687326136511
Astrocyte,Human A14,Human CA2U-CA3U,0.05707701436513321,0.0011901322459679652,47.958547933226534
Astrocyte,Human A14,Human CA3R,0.12409456614252826,0.0012995878497037898,95.48763184482885
Astrocyte,Human A14,Human CA4C-DGC,0.07035922117558147,0.000762538532753044,92.26972559872988
Astrocyte,Human A14,Human CBL,0.3074332878644213,0.002812228125726678,109.32018105216152
Astrocyte,Human A14,Human CBV,0.32753108575151907,0.003219648308267431,101.72883942338761
Astrocyte,Human A14,Human CEN,0.11162576630347736,0.0016170791590982376,69.02925294376148
Astrocyte,Human A14,Human CM,0.2161785000333427,0.0019067955353555884,113.3726694996843
Astrocyte,Human A14,Human CM-Pf,0.2077766785869996,0.0012026816125792945,172.76116672424857
Astrocyte,Human A14,Human CMN,0.07416553098395577,0.0007411837809324389,100.06361835205374
Astrocyte,Human A14,Human CaB,0.09201887474653976,0.0006550223387033801,140.48204054947433
Astrocyte,Human A14,Human CbDN,0.25381896894038813,0.002156758968835857,117.68536614798025
Astrocyte,Human A14,Human Cla,0.05656740567577517,0.000627677262112177,90.12180158545488
Astrocyte,Human A14,Human CoA,0.04180423511630654,0.0009929055373872936,42.10293279893387
Astrocyte,Human A14,Human DGR-CA4Rpy,0.09592070269293435,0.0010969627713389937,87.44207661290999
Astrocyte,Human A14,Human DGU-CA4Upy,0.09602235192652653,0.0008261517933025077,116.22846153087816
Astrocyte,Human A14,Human DTg,0.21507165495064057,0.001373494412112085,156.5872078211917
Astrocyte,Human A14,Human ETH,0.22256948903183654,0.0018683601465731025,119.12558156416883
Astrocyte,Human A14,Human FI,0.032338399068267534,0.0006203209874966217,52.131718449141864
Astrocyte,Human A14,Human GPe,0.15403136156291164,0.0015227745431408,101.15178393067572
Astrocyte,Human A14,Human GPi,0.23178460705175208,0.0021338143916266933,108.62454014805537
Astrocyte,Human A14,Human Gpe,0.1803077079883193,0.0023311401404201206,77.34743392811384
Astrocyte,Human A14,Human HTHma,0.2590778317098748,0.0034049569596037808,76.08843071544214
Astrocyte,Human A14,Human HTHma-HTHtub,0.197270039163722,0.003336045060506334,59.132906056664886
Astrocyte,Human A14,Human HTHpo,0.09814436384501762,0.0009368347807259389,104.76165687290887
Astrocyte,Human A14,Human HTHpo-HTHso,0.19573074420365652,0.002206585976523205,88.70297658288331
Astrocyte,Human A14,Human HTHso,0.09285578994312829,0.0025429340688092605,36.5152172374679
Astrocyte,Human A14,Human HTHso-HTHtub,0.1769959124693407,0.0015886114993541366,111.41547983336385
Astrocyte,Human A14,Human HTHtub,0.15836020136905,0.0025778478606620675,61.43116658885308
Astrocyte,Human A14,Human IC,0.19195631768926494,0.0010460723422009864,183.50195291979486
Astrocyte,Human A14,Human IO,0.30807471543480813,0.0032706787148857356,94.192900706718
Astrocyte,Human A14,Human ITG,0.02315180707110405,0.0005193582146402443,44.5777238493111
Astrocyte,Human A14,Human Idg,0.02234333528241889,0.00044942294205438827,49.715609043640995
Astrocyte,Human A14,Human Ig,0.02736864536350911,0.0005824604156738885,46.98799201975716
