cell_type,region_a,region_b,pair_idx,omega,mu_ct,mu_pair,expected_omega,residual,lowest_in_pair,tier
Oligodendrocyte precursor,Human BNST,Human HTHpo-HTHso,2046,10.72256789674533,22.558656731201385,27.015046012819898,18.714132590085665,0.5729663314679041,False,Weak
Oligodendrocyte precursor,Human BNST,Human HTHso,2047,15.17949261068467,22.558656731201385,37.06150275510274,25.67361448200698,0.5912487554614884,False,Weak
Oligodendrocyte precursor,Human BNST,Human HTHso-HTHtub,2048,13.512493562383511,22.558656731201385,28.1670570331407,19.512165174197964,0.6925163579617419,False,Weak
Oligodendrocyte precursor,Human BNST,Human HTHtub,2049,14.186404880485103,22.558656731201385,23.62533848410103,16.365980523124406,0.8668227889212223,False,None
Oligodendrocyte precursor,Human BNST,Human IC,2050,17.36753964387467,22.558656731201385,26.987945775313946,18.69535944279328,0.9289759684491941,False,None
Oligodendrocyte precursor,Human BNST,Human IO,2051,11.790664562634078,22.558656731201385,30.83450923430505,21.35998931436847,0.551997680762074,False,Weak
Oligodendrocyte precursor,Human BNST,Human ITG,2052,15.445763420396302,22.558656731201385,24.237447118916528,16.79000653240966,0.9199379041682579,False,None
Oligodendrocyte precursor,Human BNST,Human Idg,2053,11.775739855487826,22.558656731201385,27.169720635249472,18.82128033993939,0.6256609350055379,False,Weak
Oligodendrocyte precursor,Human BNST,Human Ig,2054,28.599685401515345,22.558656731201385,28.854446933007324,19.988340773568968,1.430818381850551,False,None
Oligodendrocyte precursor,Human BNST,Human LEC,2055,14.408446223631067,22.558656731201385,37.97631991396193,26.307335764526805,0.5476968991690762,False,Weak
Oligodendrocyte precursor,Human BNST,Human LG,2056,21.27090177192149,22.558656731201385,38.23201157976604,26.484461049960974,0.8031464839626342,False,None
Oligodendrocyte precursor,Human BNST,Human LP,2057,18.505780564389656,22.558656731201385,41.233199554676105,28.56347396978295,0.6478826974606366,False,Weak
Oligodendrocyte precursor,Human BNST,Human LP-VPL,2058,16.622765739186857,22.558656731201385,42.67876396008078,29.564859787797612,0.5622474064986981,False,Weak
Oligodendrocyte precursor,Human BNST,Human La,2059,12.935318150023372,22.558656731201385,31.151530875307017,21.579599712989367,0.5994234518741902,False,Weak
Oligodendrocyte precursor,Human BNST,Human M1C,2060,17.028021059725255,22.558656731201385,30.28404509988113,20.978666299304656,0.8116827264795977,False,None
Oligodendrocyte precursor,Human BNST,Human MD,2061,22.20745359716082,22.558656731201385,27.584876548356213,19.10887129202404,1.1621541250544773,False,None
Oligodendrocyte precursor,Human BNST,Human MD-Re,2062,15.20535705784667,22.558656731201385,31.577329983858505,21.874563525762124,0.6951159066529035,False,Weak
Oligodendrocyte precursor,Human BNST,Human MEC,2063,28.506716721810793,22.558656731201385,35.084619428077715,24.304168112027824,1.1729147276471965,False,None
Oligodendrocyte precursor,Human BNST,Human MG,2064,24.85454022797093,22.558656731201385,38.77773698990028,26.86250140858871,0.9252504020353154,False,None
Oligodendrocyte precursor,Human BNST,Human MN,2065,48.86301579318203,22.558656731201385,37.43613196263051,25.933131369687512,1.8841926606015884,False,None
Oligodendrocyte precursor,Human BNST,Human MTG,2066,56.28770425238739,22.558656731201385,36.3359697933865,25.171016039731807,2.2362110517723512,False,None
Oligodendrocyte precursor,Human BNST,Human MoAN,2067,41.82335767466843,22.558656731201385,38.32861250036721,26.551379404850938,1.5751858702688457,False,None
Oligodendrocyte precursor,Human BNST,Human MoRF-MoEN,2068,57.45974267725832,22.558656731201385,43.973885184650406,30.462029102457613,1.8862743018199857,False,None
Oligodendrocyte precursor,Human BNST,Human MoSR,2069,23.42887199081144,22.558656731201385,37.433453944910404,25.931276226495495,0.9034986086366547,False,None
Oligodendrocyte precursor,Human BNST,Human NAC,2070,36.799744969358606,22.558656731201385,48.12375864376477,33.33677090778676,1.1038785091438768,False,None
Oligodendrocyte precursor,Human BNST,Human PAG,2071,19.229922674724016,22.558656731201385,35.731869583244524,24.752537706401167,0.7768869157101024,False,None
Oligodendrocyte precursor,Human BNST,Human PAG-DR,2072,26.10017742900597,22.558656731201385,25.40376798876517,17.597951978461236,1.4831372117023,False,None
Oligodendrocyte precursor,Human BNST,Human PB,2073,50.010334655514285,22.558656731201385,32.26560803620242,22.35135437499102,2.2374632792485705,False,None
Oligodendrocyte precursor,Human BNST,Human PN,2074,35.98093297500466,22.558656731201385,30.974590238709975,21.457027627334586,1.6768833782535542,False,None
Oligodendrocyte precursor,Human BNST,Human PTR,2075,26.74083051704133,22.558656731201385,29.683323243066255,20.562528252644988,1.3004641349782278,False,None
Oligodendrocyte precursor,Human BNST,Human Pir,2076,43.999789720264545,22.558656731201385,37.705707556085656,26.11987446820293,1.6845329702417888,False,None
Oligodendrocyte precursor,Human BNST,Human PnAN,2077,35.54340045890733,22.558656731201385,30.019768286626178,20.79559382475135,1.7091793943678026,False,None
Oligodendrocyte precursor,Human BNST,Human PnEN,2078,21.03456564489986,22.558656731201385,30.71282393586903,21.27569425863859,0.9886664749545917,False,None
Oligodendrocyte precursor,Human BNST,Human PnRF,2079,35.051105725444465,22.558656731201385,40.57647662286534,28.108542298927226,1.2469912296655172,False,None
Oligodendrocyte precursor,Human BNST,Human Pro,2080,26.836467437870024,22.558656731201385,33.58868003563793,23.267886029681367,1.1533693866145143,False,None
Oligodendrocyte precursor,Human BNST,Human Pu,2081,40.60850536888158,22.558656731201385,36.63252041564112,25.37644554971346,1.600244025087277,False,None
Oligodendrocyte precursor,Human BNST,Human Pul,2082,63.38620618647333,22.558656731201385,38.73087280586148,26.83003718278609,2.3625090697653355,False,None
Oligodendrocyte precursor,Human BNST,Human RN,2083,34.54784185290692,22.558656731201385,33.68181105427724,23.3324006794154,1.4806809778209469,False,None
Oligodendrocyte precursor,Human BNST,Human S1C,2084,27.9533306176567,22.558656731201385,40.56422922229973,28.100058157239662,0.9947783901811904,False,None
Oligodendrocyte precursor,Human BNST,Human SC,2085,42.51889000907795,22.558656731201385,30.57288003963922,21.17875092461743,2.007620286976202,False,None
Oligodendrocyte precursor,Human BNST,Human SEP,2086,61.55457180226196,22.558656731201385,39.0238743186695,27.033008118211587,2.277015252357132,False,None
Oligodendrocyte precursor,Human BNST,Human SI,2087,41.2898205929794,22.558656731201385,40.79069732260096,28.25693940239656,1.4612276299632607,False,None
Oligodendrocyte precursor,Human BNST,Human SN,2088,64.6303604388996,22.558656731201385,45.304292486485956,31.38364214111591,2.0593645615856344,False,None
Oligodendrocyte precursor,Human BNST,Human SN-RN,2089,69.24063320929278,22.558656731201385,43.28781365570116,29.986766778160767,2.309039641436783,False,None
Oligodendrocyte precursor,Human BNST,Human STG,2090,50.09788061597697,22.558656731201385,39.07477852929386,27.06827099159577,1.850797216842239,False,None
