pair,omega,kn,kf,same_tissue,same_ct
Sple|B cell vs Hear|endothelial cell,6.228714710291818,0.01318628610381884,0.082133614228973,False,False
Lung|stromal cell vs Hear|cardiac muscle,6.2201334533678105,0.03097780825634985,0.19268610144733528,False,False
Kidn|fibroblast vs Marr|granulocyte,6.1994666230256,0.0250001169741984,0.15498739075327872,False,False
Hear|leukocyte vs Hear|cardiac muscle,6.193631477083062,0.03148614341843046,0.19501356896834257,True,False
Live|B cell vs Marr|granulocyte,6.14715810592393,0.025209367582906466,0.15496596828247944,False,False
Live|liver sinusoid EC vs Marr|NK cell,6.108463299195391,0.020353903638890183,0.1243310733735202,False,False
Live|Kupffer cell vs Marr|T cell,6.101884621757652,0.011176750897241461,0.06819924442109371,False,False
Live|liver sinusoid EC vs Marr|T cell,6.0995147097596005,0.01802823496819711,0.10996348437952068,False,False
Live|liver sinusoid EC vs Kidn|kidney tubule cell,6.098915328790642,0.022461449194132194,0.13699047679694504,False,False
Kidn|kidney tubule cell vs Marr|granulocyte,6.09122672699154,0.02854013053375523,0.17384440589903719,False,False
Hear|cardiac muscle vs Marr|granulocyte,6.048990939546331,0.045074065993265286,0.2726526168017751,False,False
Kidn|fenestrated cell vs Marr|Fraction A pre-p..,6.0371125993885375,0.015685496281648868,0.09469510722960443,False,False
Hear|endothelial cell vs Marr|Fraction A pre-p..,6.036615806457548,0.01320551249377739,0.07971660545230923,False,False
Lung|NK cell vs Lung|macrophage,6.024024870130201,0.01836306624044405,0.11061956772428325,True,False
Lung|T cell vs Marr|neutrophil,5.983653005132582,0.03137878124040737,0.18775973866656143,False,False
Kidn|fenestrated cell vs Hear|endocardial cell,5.964810785007087,0.01234939996738108,0.07366183411380084,False,False
Lung|NK cell vs Marr|monocyte,5.955294025308062,0.016272920815040226,0.09691002810412025,False,False
Live|NK cell vs Kidn|fenestrated cell,5.95470958376629,0.01687536028267443,0.10048786960475044,False,False
Live|liver sinusoid EC vs Sple|myeloid cell,5.951805680188017,0.01790700753458787,0.1065790291595297,False,False
Lung|stromal cell vs Hear|endocardial cell,5.949525082402414,0.01369965494805661,0.08150644073372114,False,False
Kidn|fenestrated cell vs Sple|B cell,5.941732161177644,0.0163664058431509,0.09724479996113541,False,False
Hear|smooth muscle cell vs Marr|granulocyte,5.89270117131818,0.029917439686585518,0.17629453188398347,False,False
Live|Kupffer cell vs Lung|NK cell,5.872634439036892,0.02359921070395778,0.1385895375141505,False,False
Lung|NK cell vs Hear|smooth muscle cell,5.85705580263311,0.021798703574836563,0.12767622326287562,False,False
Live|liver sinusoid EC vs Live|B cell,5.833553751694834,0.02073943957563868,0.12098463554451533,True,False
Lung|macrophage vs Hear|smooth muscle cell,5.828357306637785,0.01290183623546969,0.0751965114920439,False,False
Live|Kupffer cell vs Hear|endocardial cell,5.82596844285603,0.017388379430227568,0.10130414983291272,False,False
Lung|B cell vs Lung|NK cell,5.808959828774986,0.017144329931127897,0.09959072386118657,True,False
Lung|macrophage vs Marr|granulocyte,5.795184898231444,0.026489074329219407,0.15350908352082251,False,False
Sple|B cell vs Hear|cardiac muscle,5.784187802700939,0.030752648434874963,0.17787909397775387,False,False
Live|liver sinusoid EC vs Lung|NK cell,5.75027054178781,0.030722664264916426,0.17666363128778595,False,False
Hear|endothelial cell vs Marr|T cell,5.724200650855068,0.01258906310955071,0.0720623232453457,False,False
Lung|macrophage vs Hear|leukocyte,5.708026183480823,0.005392173759473946,0.030778669004955506,False,False
Live|Kupffer cell vs Hear|leukocyte,5.690042334363551,0.006868313935966073,0.0390809970613461,False,False
Kidn|leukocyte vs Hear|cardiac muscle,5.682778449310168,0.03719513154099701,0.2113716919404347,False,False
Hear|leukocyte vs Marr|Fraction A pre-p..,5.678652545891708,0.009308438084057166,0.05285938562430657,False,False
Lung|leukocyte vs Marr|granulocyte,5.668218116041871,0.019033737696251506,0.10788737682588184,False,False
Lung|macrophage vs Hear|cardiac muscle,5.662331366786436,0.03264952760305523,0.18487244425753918,False,False
Live|Kupffer cell vs Kidn|fibroblast,5.658700316762074,0.013947919259850405,0.07892709513388732,False,False
Kidn|fenestrated cell vs Marr|T cell,5.647219534213341,0.015380309743870415,0.0868559856278368,False,False
Live|liver sinusoid EC vs Kidn|fibroblast,5.644817570948204,0.02133042238074221,0.12040634305056046,False,False
Lung|macrophage vs Marr|NK cell,5.64354644939128,0.009338749219222316,0.05270366499789769,False,False
Kidn|leukocyte vs Marr|Fraction A pre-p..,5.598473948335855,0.01209155070072457,0.06769423159298867,False,False
Lung|NK cell vs Marr|granulocyte,5.568734842904892,0.036470959961780486,0.20309710549335624,False,False
Kidn|fenestrated cell vs Lung|NK cell,5.560098408318641,0.027989608702003024,0.1556249787934686,False,False
Sple|myeloid cell vs Hear|endothelial cell,5.534833390771333,0.013123512355580182,0.07263645438986535,False,False
Live|B cell vs Hear|cardiac muscle,5.501902342502049,0.03276568918692987,0.18027362209126352,False,False
Marr|Fraction A pre-p.. vs Marr|granulocyte,5.48984459258786,0.026662584098245387,0.1463734431361715,True,False
Live|hepatocyte vs Marr|hematopoietic st..,5.4789693659896,0.035662559411929154,0.19539407053074392,False,False
Sple|T cell vs Hear|endothelial cell,5.474607049158291,0.013938440435437734,0.07630748426212039,False,False
Kidn|fenestrated cell vs Sple|myeloid cell,5.469043778733132,0.01608705822591263,0.08798082570854512,False,False
Live|Kupffer cell vs Marr|B cell,5.462795852796017,0.011141280123332296,0.06086253885257836,False,False
Live|Kupffer cell vs Live|B cell,5.460342612238613,0.01276355079320058,0.06969336027958509,True,False
Hear|endocardial cell vs Hear|cardiac muscle,5.443870283122267,0.03499000365638083,0.1904810411113111,True,False
Hear|cardiac muscle vs Marr|T cell,5.443349817113374,0.03100081082867707,0.16874825795464563,False,False
Kidn|fenestrated cell vs Marr|NK cell,5.4318674178462025,0.018766323910164036,0.10193618340036817,False,False
