pair_type,cancer,sample_a,sample_b,omega,kn,kf
TT,TCGA-LUAD,TCGA-55-A48X-01,TCGA-86-7711-01,76.52516826862697,0.00502490451286149,0.3845316633805086
TT,TCGA-LUAD,TCGA-97-A4M5-01,TCGA-MT-A51X-01,61.38106430302301,0.005261329432856593,0.3229460002375581
TT,TCGA-LUAD,TCGA-73-4677-01,TCGA-MT-A67F-01,83.55566345320626,0.0066858754498514365,0.5586427589778407
TT,TCGA-LUAD,TCGA-86-8279-01,TCGA-MP-A4T9-01,137.91456883921808,0.002582270059508207,0.3561326618834964
TT,TCGA-LUAD,TCGA-91-6847-01,TCGA-N1-A6IA-01,143.0523109697938,0.00444971499744204,0.636542013541034
TT,TCGA-LUAD,TCGA-05-5420-01,TCGA-44-7662-01,40.76049602346602,0.012643778948832457,0.5153667015654687
TT,TCGA-LUAD,TCGA-49-6744-01,TCGA-86-7714-01,196.32475558051212,0.0019630560558353168,0.3853965003527127
TT,TCGA-LUAD,TCGA-55-5899-01,TCGA-86-8281-01,155.5684012761515,0.0039286492098878556,0.6111736767570695
TT,TCGA-LUAD,TCGA-35-4123-01,TCGA-75-7025-01,43.6693633638643,0.008527403050761152,0.37238626237381367
TT,TCGA-LUAD,TCGA-78-7163-01,TCGA-KN-8432-01,91.09204407443566,0.0075244833851554815,0.6854205721579419
TT,TCGA-LUAD,TCGA-44-8117-01,TCGA-64-1679-01,120.99067962501724,0.004086911025104891,0.49447814249441663
TT,TCGA-LUAD,TCGA-55-6971-01,TCGA-55-7573-01,166.94696434742204,0.0026038973021663093,0.43471275006910726
TT,TCGA-LUAD,TCGA-49-4487-01,TCGA-50-5944-01,108.84669173761044,0.004887508216014073,0.5319891001535222
TT,TCGA-LUAD,TCGA-50-5049-01,TCGA-86-7954-01,55.645309822593134,0.005164525037254612,0.28738159578457223
TT,TCGA-LUAD,TCGA-50-5072-01,TCGA-KN-8426-01,17.236112082247462,0.010499642658894023,0.18097301769224414
TT,TCGA-LUAD,TCGA-55-7913-01,TCGA-J2-A4AD-01,133.4981531152636,0.004168418959253394,0.5564762324709773
TT,TCGA-LUAD,TCGA-93-8067-01,TCGA-TQ-A7RO-01,83.06256086386864,0.0072868829481140115,0.6052671583856066
TT,TCGA-LUAD,TCGA-78-7220-01,TCGA-86-7954-01,116.86109215253977,0.0041866896759163415,0.48926112803134647
TT,TCGA-LUAD,TCGA-55-5899-01,TCGA-78-8662-01,107.70397630331031,0.005802807395341041,0.6249854302004854
TT,TCGA-LUAD,TCGA-75-6207-01,TCGA-N6-A4V9-01,101.3350899047276,0.006169863029325675,0.6252236247765722
TT,TCGA-LUAD,TCGA-55-6984-01,TCGA-91-6831-01,143.09469743792266,0.004183661971893155,0.598659844050594
TT,TCGA-LUAD,TCGA-49-6742-01,TCGA-55-7724-01,80.71233906684698,0.007491995054116053,0.6046964450949555
TT,TCGA-LUAD,TCGA-44-6774-01,TCGA-67-3770-01,55.8373041318058,0.009023229348255012,0.503832801369551
TT,TCGA-LUAD,TCGA-64-1681-01,TCGA-67-3770-01,60.47636784771256,0.006902992767796849,0.41746792987538167
TT,TCGA-LUAD,TCGA-55-6969-01,TCGA-TQ-A7RF-01,99.89647836495806,0.0056076516575057625,0.5601846524822456
TT,TCGA-LUAD,TCGA-05-4403-01,TCGA-J2-A4AG-01,99.88566009133174,0.0052716767589075396,0.5265649128516119
TT,TCGA-LUAD,TCGA-44-6779-01,TCGA-97-7941-01,82.30093468061094,0.003990687057183157,0.3284372748239905
TT,TCGA-LUAD,TCGA-97-A4M7-01,TCGA-MT-A51W-01,47.29127721431043,0.006300588315882756,0.2979628686596567
