cell_type,region_a,region_b,omega,kn,kf
Astrocyte,Human A13,Human DGU-CA4Upy,12.430380776991484,0.00494021930897793,0.061408807132441415
Astrocyte,Human A13,Human DTg,33.46554100838424,0.0048710327947501155,0.1630117477458945
Astrocyte,Human A13,Human ETH,21.927780438244373,0.007312608036988428,0.16034926346602343
Astrocyte,Human A13,Human FI,5.689279845357768,0.004453831500674243,0.02533909379140551
Astrocyte,Human A13,Human GPe,20.93912105068949,0.004309395430759436,0.09023495257996
Astrocyte,Human A13,Human GPi,22.020827407032158,0.006043096390892181,0.13307398262789566
Astrocyte,Human A13,Human Gpe,8.190573423795765,0.013097474820934964,0.1072758291871841
Astrocyte,Human A13,Human HTHma,11.41836518899645,0.013513704997873383,0.15430441872208478
Astrocyte,Human A13,Human HTHma-HTHtub,11.305107265751442,0.011463848010859125,0.12960003144103371
Astrocyte,Human A13,Human HTHpo,14.035640983059093,0.005780924197145949,0.08113897658141966
Astrocyte,Human A13,Human HTHpo-HTHso,20.428785723296354,0.006265166995224691,0.12798975406611368
Astrocyte,Human A13,Human HTHso,6.841215176037963,0.015185710855088744,0.10388871556075754
Astrocyte,Human A13,Human HTHso-HTHtub,25.10221027946262,0.004762465188219097,0.1195484026032963
Astrocyte,Human A13,Human HTHtub,8.972485273736533,0.015414392857012245,0.13830541291313198
Astrocyte,Human A13,Human IC,26.52904464371216,0.00532520165484748,0.14127251243821867
Astrocyte,Human A13,Human IO,18.55793813161728,0.01004169083771327,0.18635307730311096
Astrocyte,Human A13,Human ITG,4.357426101115596,0.003002651917474298,0.0130838338377673
Astrocyte,Human A13,Human Idg,4.345832024253702,0.0021770931959218757,0.009461281330622125
Astrocyte,Human A13,Human Ig,3.487194677819632,0.002603093531733525,0.009077493909727858
Astrocyte,Human A13,Human LEC,10.324774213567364,0.002655251840072517,0.02741487572890802
Astrocyte,Human A13,Human LG,29.610025223551652,0.004798283167288247,0.1420772856131483
Astrocyte,Human A13,Human LP,27.751897732596188,0.0051422179941295176,0.14270630789179828
Astrocyte,Human A13,Human LP-VPL,15.242260859866915,0.009537813461782126,0.14537784081723346
Astrocyte,Human A13,Human La,5.382707529807412,0.012834007794506282,0.06908171039309598
Astrocyte,Human A13,Human M1C,7.4366492051155495,0.003161668236630443,0.023512217578776865
Astrocyte,Human A13,Human MD,31.2953516584287,0.004420505252754854,0.1383412663928944
Astrocyte,Human A13,Human MD-Re,15.155506460084988,0.00949082753764947,0.14383829805839904
Astrocyte,Human A13,Human MEC,8.917184829358657,0.0033721452825613532,0.03007004275604946
Astrocyte,Human A13,Human MG,15.44770097932269,0.008295910443380707,0.12815274388058548
Astrocyte,Human A13,Human MN,7.6224955814547375,0.02529104456227762,0.192780875426336
Astrocyte,Human A13,Human MTG,5.434383222988256,0.00228815771926201,0.012434725921108539
Astrocyte,Human A13,Human MoAN,28.08260671060242,0.006005234026165349,0.16864262536192903
Astrocyte,Human A13,Human MoRF-MoEN,31.118921269800516,0.005074722416511261,0.15791988734550574
Astrocyte,Human A13,Human MoSR,11.806727352858942,0.015205125817790745,0.17952277489657167
Astrocyte,Human A13,Human NAC,16.412213371481172,0.003880435748884259,0.0636865394850118
Astrocyte,Human A13,Human PAG,29.025761551755714,0.005170278905840444,0.15007128267699715
Astrocyte,Human A13,Human PAG-DR,20.125999052203053,0.0070639502458231355,0.14216905595224594
Astrocyte,Human A13,Human PB,28.41240641239879,0.00568550031378153,0.16153874557298167
Astrocyte,Human A13,Human PN,23.286521969612796,0.0072389878941975785,0.16857085063599297
Astrocyte,Human A13,Human PTR,20.403742863486205,0.006534378898532416,0.13332578681824564
Astrocyte,Human A13,Human Pir,6.420994589433756,0.005593843921548799,0.035918041554401745
Astrocyte,Human A13,Human PnAN,30.71498032196103,0.005410144426242387,0.16617247959100206
Astrocyte,Human A13,Human PnEN,32.83250956533301,0.005006780927823551,0.16438518270429364
Astrocyte,Human A13,Human PnRF,33.78120309102759,0.004823595025845856,0.16294684319696934
