cell_type,region_a,region_b,omega,expected_omega,residual,tier
Astrocyte,Human A1C,Human CA1R-CA2R-CA3R,6.280334574347092,8.77,0.7164,Weak
Astrocyte,Human A1C,Human CA1U,9.573302518603773,12.6,0.7598,None
Astrocyte,Human A1C,Human CA1U-CA2U-CA3U,5.697051323414798,7.09,0.8041,None
Astrocyte,Human A1C,Human CA2U-CA3U,8.79939836762536,15.26,0.5766,Weak
Astrocyte,Human A1C,Human CA3R,9.277842934190428,10.24,0.9058,None
Astrocyte,Human A1C,Human CA4C-DGC,14.482499818953324,14.62,0.9903,None
Astrocyte,Human A1C,Human CBL,18.597031056874382,19.87,0.9358,None
Astrocyte,Human A1C,Human CBV,18.943112214351526,20.78,0.9118,None
Astrocyte,Human A1C,Human CEN,4.34379462033809,6.16,0.7056,Weak
Astrocyte,Human A1C,Human CM,11.999120347244379,13.61,0.8819,None
Astrocyte,Human A1C,Human CM-Pf,19.095846839786873,12.79,1.4927,None
Astrocyte,Human A1C,Human CMN,8.34728958752834,10.54,0.7922,None
Astrocyte,Human A1C,Human CaB,11.767057814472086,15.38,0.765,None
Astrocyte,Human A1C,Human CbDN,28.886600535775962,22.98,1.2571,None
Astrocyte,Human A1C,Human Cla,7.790042076011412,11.53,0.6755,Weak
Astrocyte,Human A1C,Human CoA,6.479395394638933,10.15,0.6383,Weak
Astrocyte,Human A1C,Human DGR-CA4Rpy,8.197920421125614,11.43,0.7173,Weak
Astrocyte,Human A1C,Human DGU-CA4Upy,9.74228028759154,12.72,0.766,None
Astrocyte,Human A1C,Human DTg,24.70932683106486,15.16,1.6299,None
Astrocyte,Human A1C,Human ETH,17.729858312920072,12.17,1.4574,None
Astrocyte,Human A1C,Human FI,4.387077329257036,7.73,0.5675,Weak
Astrocyte,Human A1C,Human GPe,15.687466861705483,13.4,1.1703,None
Astrocyte,Human A1C,Human GPi,15.947268485463884,15.53,1.0266,None
Astrocyte,Human A1C,Human Gpe,6.979034903486805,13.58,0.5139,Weak
Astrocyte,Human A1C,Human HTHma,9.651103932243247,9.04,1.0676,None
Astrocyte,Human A1C,Human HTHma-HTHtub,10.875908124630596,8.44,1.2887,None
Astrocyte,Human A1C,Human HTHpo,13.11205956071196,17.01,0.7707,None
Astrocyte,Human A1C,Human HTHpo-HTHso,16.678860331876624,16.08,1.0374,None
Astrocyte,Human A1C,Human HTHso,7.528306242320153,12.25,0.6146,Weak
Astrocyte,Human A1C,Human HTHso-HTHtub,23.804814885028396,21.13,1.1264,None
Astrocyte,Human A1C,Human HTHtub,8.335402951752434,12.2,0.6833,Weak
Astrocyte,Human A1C,Human IC,23.590360632704744,17.74,1.3296,None
Astrocyte,Human A1C,Human IO,16.227274369024887,13.78,1.1775,None
