sample,cancer,type,stromal_score,immune_score,admix
TCGA-A8-A099-01,TCGA-BRCA,Tumor,10431.226753831146,12298.818692335724,22730.04544616687
TCGA-66-2790-01,TCGA-LUSC,Tumor,12174.290983231713,15482.175641316073,27656.466624547786
TCGA-75-7027-01,TCGA-LUAD,Tumor,11641.395055769975,13852.77211486913,25494.167170639106
TCGA-HU-A4GD-01,TCGA-LIHC,Tumor,3667.2535279243857,10037.033664609033,13704.287192533418
TCGA-FV-A4ZP-01,TCGA-LIHC,Tumor,-3895.225887064211,7544.395009336033,3649.169122271822
TCGA-KN-8435-01,TCGA-LUAD,Tumor,2665.621473306812,3132.46521183024,5798.086685137052
TCGA-BP-4781-01,TCGA-KIRC,Tumor,10755.75361868164,15754.558662252155,26510.312280933795
TCGA-DD-AACS-01,TCGA-LIHC,Tumor,-1594.2307091588882,2571.4644674800547,977.2337583211665
TCGA-L5-A4OI-01,TCGA-LUSC,Tumor,3088.0367644265316,10877.371602407246,13965.408366833777
TCGA-A8-A09R-01,TCGA-BRCA,Tumor,13110.838385956118,15137.526140199549,28248.364526155667
TCGA-DD-A4NK-01,TCGA-LIHC,Tumor,689.1567173734693,6881.557433863287,7570.714151236756
TCGA-44-2668-01,TCGA-LUAD,Tumor,12712.234466087033,17930.634847689627,30642.86931377666
TCGA-55-8507-01,TCGA-LUAD,Tumor,9655.777826244179,14455.65440763655,24111.43223388073
TCGA-CC-5261-01,TCGA-LIHC,Tumor,10798.517333228268,15366.473150627487,26164.990483855756
TCGA-22-5491-11,TCGA-LUSC,Normal,11831.811326223778,17609.576176291386,29441.387502515165
TCGA-EW-A6SC-01,TCGA-BRCA,Tumor,13528.255921383108,14475.474688575978,28003.730609959086
TCGA-B0-5699-01,TCGA-KIRC,Tumor,8548.356978529224,16411.01120465127,24959.368183180493
TCGA-37-5819-01,TCGA-LUSC,Tumor,6515.970715659634,13438.025977680747,19953.99669334038
TCGA-22-A5C4-01,TCGA-LUSC,Tumor,6770.041675167828,13167.905286011981,19937.94696117981
TCGA-85-A4CL-01,TCGA-LUSC,Tumor,7877.647493200238,15234.685356563434,23112.332849763672
TCGA-DX-A3UB-01,TCGA-KIRC,Tumor,9041.181932411873,7897.570930662863,16938.752863074737
TCGA-BP-4801-01,TCGA-KIRC,Tumor,14206.428247597043,17270.148529521433,31476.576777118476
