pair,ct_i,ct_j,organ_i,organ_j,same_organ,same_ct,omega,js_raw,spearman_dist,cosine_dist,marker_jaccard_dist
"Sple|cd8-positive, .. vs Sple|cd1c-positive ..","cd8-positive, alpha-beta memory t cell",cd1c-positive myeloid dendritic cell,Spleen,Spleen,True,False,17.48242799052099,0.10262853845384193,0.26809640658795963,0.18876254558563232,0.5915492957746479
"Sple|cd8-positive, .. vs Sple|cd141-positive..","cd8-positive, alpha-beta memory t cell",cd141-positive myeloid dendritic cell,Spleen,Spleen,True,False,15.1943250060658,0.11205128726489832,0.2940925749717872,0.19402676820755005,0.5663082437275986
"Sple|cd8-positive, .. vs Sple|cd8-positive, ..","cd8-positive, alpha-beta memory t cell","cd8-positive, alpha-beta t cell",Spleen,Spleen,True,False,15.97730009510344,0.06706209504670348,0.2240777356606738,0.13247662782669067,0.5865724381625441
"Sple|cd8-positive, .. vs Sple|plasmacytoid d..","cd8-positive, alpha-beta memory t cell",plasmacytoid dendritic cell,Spleen,Spleen,True,False,8.731439110646503,0.11264905663835956,0.3191907612177026,0.18123698234558105,0.5130111524163569
"Sple|cd8-positive, .. vs Sple|platelet","cd8-positive, alpha-beta memory t cell",platelet,Spleen,Spleen,True,False,7.352429832931258,0.17023051699359837,0.38953131874885405,0.2826935648918152,0.7301587301587302
"Sple|cd8-positive, .. vs Lung|macrophage","cd8-positive, alpha-beta memory t cell",macrophage,Spleen,Lung,False,False,15.775322980237858,0.11084013615700614,0.18788498012518173,0.24182164669036865,0.7012987012987013
"Sple|cd8-positive, .. vs Lung|type ii pneumo..","cd8-positive, alpha-beta memory t cell",type ii pneumocyte,Spleen,Lung,False,False,21.621004564941508,0.13672214586913978,0.22871992883246184,0.2936290502548218,0.6928104575163399
"Sple|cd8-positive, .. vs Lung|basal cell","cd8-positive, alpha-beta memory t cell",basal cell,Spleen,Lung,False,False,26.492453168059512,0.12074207253035552,0.2293182851257174,0.2276211380958557,0.5507246376811594
"Sple|cd8-positive, .. vs Lung|classical mono..","cd8-positive, alpha-beta memory t cell",classical monocyte,Spleen,Lung,False,False,17.89141587062501,0.0951687314850123,0.19174652498235534,0.1962980031967163,0.555956678700361
"Sple|cd8-positive, .. vs Lung|club cell","cd8-positive, alpha-beta memory t cell",club cell,Spleen,Lung,False,False,24.953099366404402,0.12274399272747134,0.21971531518209242,0.24753093719482422,0.6013986013986015
"Sple|cd8-positive, .. vs Lung|non-classical ..","cd8-positive, alpha-beta memory t cell",non-classical monocyte,Spleen,Lung,False,False,22.925372325418163,0.09327943882045728,0.1869221032139241,0.19248342514038086,0.5507246376811594
"Sple|cd8-positive, .. vs Lung|capillary EC","cd8-positive, alpha-beta memory t cell",capillary endothelial cell,Spleen,Lung,False,False,21.357485006339175,0.13678161631570643,0.2508888591835827,0.31590932607650757,0.8538681948424068
"Sple|cd8-positive, .. vs Lung|respiratory go..","cd8-positive, alpha-beta memory t cell",respiratory goblet cell,Spleen,Lung,False,False,25.27918794838318,0.12987524941210532,0.2350938359745377,0.2573726773262024,0.5964912280701755
"Sple|cd8-positive, .. vs Lung|basophil","cd8-positive, alpha-beta memory t cell",basophil,Spleen,Lung,False,False,16.91680536068944,0.09847065721001273,0.22196264160834311,0.2010563611984253,0.5347985347985348
"Sple|cd8-positive, .. vs Lung|lung ciliated ..","cd8-positive, alpha-beta memory t cell",lung ciliated cell,Spleen,Lung,False,False,18.596991475011432,0.17680591958052294,0.26048889238003325,0.4049057364463806,0.9717223650385605
"Sple|cd8-positive, .. vs Lung|capillary aero..","cd8-positive, alpha-beta memory t cell",capillary aerocyte,Spleen,Lung,False,False,17.68121685059825,0.14040706956581997,0.2469710025000178,0.3267659544944763,0.8732394366197183
"Sple|cd8-positive, .. vs Lung|cd8-positive, ..","cd8-positive, alpha-beta memory t cell","cd8-positive, alpha-beta t cell",Spleen,Lung,False,False,10.67025171168635,0.0308653899691306,0.16649031787728175,0.04847562313079834,0.36734693877551017
"Sple|cd8-positive, .. vs Lung|cd4-positive, ..","cd8-positive, alpha-beta memory t cell","cd4-positive, alpha-beta t cell",Spleen,Lung,False,False,10.361720435263251,0.035362383672945634,0.17043852869618237,0.06239163875579834,0.38056680161943324
"Sple|cd8-positive, .. vs Lung|vein EC","cd8-positive, alpha-beta memory t cell",vein endothelial cell,Spleen,Lung,False,False,26.007727564655898,0.12553531716230465,0.2406335462787671,0.2622079849243164,0.6301369863013699
"Sple|cd8-positive, .. vs Lung|lung microvasc..","cd8-positive, alpha-beta memory t cell",lung microvascular endothelial cell,Spleen,Lung,False,False,23.6761564952506,0.12655991453417476,0.23447947912248868,0.2572174668312073,0.6013986013986015
"Sple|cd8-positive, .. vs Lung|adventitial cell","cd8-positive, alpha-beta memory t cell",adventitial cell,Spleen,Lung,False,False,12.215711642836041,0.19021705863195976,0.3513532387456929,0.37127602100372314,0.8304093567251463
"Sple|cd8-positive, .. vs Lung|alveolar fibro..","cd8-positive, alpha-beta memory t cell",alveolar fibroblast,Spleen,Lung,False,False,17.27557234228387,0.16469151339431073,0.327846380688148,0.32628554105758667,0.7220447284345048
"Sple|cd8-positive, .. vs Lung|dendritic cell","cd8-positive, alpha-beta memory t cell",dendritic cell,Spleen,Lung,False,False,18.900777312638215,0.09798543295251984,0.24105062347417439,0.19340598583221436,0.5714285714285714
"Sple|cd8-positive, .. vs Lung|intermediate m..","cd8-positive, alpha-beta memory t cell",intermediate monocyte,Spleen,Lung,False,False,17.986480090394256,0.10002279805508035,0.22542614716960918,0.19719624519348145,0.5507246376811594
"Sple|cd8-positive, .. vs Lung|pericyte cell","cd8-positive, alpha-beta memory t cell",pericyte cell,Spleen,Lung,False,False,22.36248618204508,0.13501173230400637,0.2555606592000984,0.2981535792350769,0.7804878048780488
"Sple|cd8-positive, .. vs Lung|type i pneumoc..","cd8-positive, alpha-beta memory t cell",type i pneumocyte,Spleen,Lung,False,False,16.765845507680652,0.15468242719270592,0.27218741359141985,0.3391968607902527,0.8888888888888888
"Sple|cd8-positive, .. vs Lung|EC of artery","cd8-positive, alpha-beta memory t cell",endothelial cell of artery,Spleen,Lung,False,False,21.945939455170098,0.14073891992828785,0.28700016300901354,0.2857252359390259,0.6970684039087948
"Sple|cd8-positive, .. vs Lung|neutrophil","cd8-positive, alpha-beta memory t cell",neutrophil,Spleen,Lung,False,False,3.3457208040674575,0.21424843267512944,0.36049636687335473,0.4096676707267761,0.8668555240793201
"Sple|cd8-positive, .. vs Lung|cd4-positive a..","cd8-positive, alpha-beta memory t cell",cd4-positive alpha-beta t cell,Spleen,Lung,False,False,9.167027049168299,0.042412854181111515,0.21234415977418064,0.06281542778015137,0.3263598326359832
"Sple|cd8-positive, .. vs Lung|nk cell","cd8-positive, alpha-beta memory t cell",nk cell,Spleen,Lung,False,False,13.189361460525038,0.056576479062402166,0.22465545364011952,0.09161257743835449,0.49056603773584906
"Sple|cd8-positive, .. vs Lung|plasma cell","cd8-positive, alpha-beta memory t cell",plasma cell,Spleen,Lung,False,False,7.707808284425056,0.12249242035956437,0.2742844855739781,0.2326369285583496,0.6301369863013699
"Sple|cd8-positive, .. vs Lung|b cell","cd8-positive, alpha-beta memory t cell",b cell,Spleen,Lung,False,False,10.599753299972747,0.10042231585836522,0.2970218098035158,0.1620578169822693,0.4375
"Sple|cd8-positive, .. vs Lung|vascular assoc..","cd8-positive, alpha-beta memory t cell",vascular associated smooth muscle cell,Spleen,Lung,False,False,13.612446197327719,0.17612503760841033,0.34288970275282715,0.338050901889801,0.7460815047021944
