rep,tissue,cell_type,kn,kf,omega,n_half_a,n_half_b
26,Heart,fibroblast,0.00010440951120391085,0.0008068989095398835,7.728212690930207,1026,1026
26,Marrow,neutrophil,0.00028518310825463534,0.0010268855655183587,3.600793791059565,299,300
27,Liver,hepatocyte,0.0002849083913230092,0.0031706688189827564,11.128730902797713,199,200
27,Heart,endothelial cell,0.00024890022214006587,0.002100170004710046,8.437798836226824,568,569
27,Spleen,B cell,0.0002810969142749292,0.001664456604031666,5.9212909125132915,619,619
27,Marrow,B cell,0.00016345035639783257,0.0010937457646337228,6.69160831911301,924,924
27,Heart,fibroblast,0.00012910017985390824,0.0005685901828284485,4.404255543810039,1026,1026
27,Marrow,neutrophil,0.000222684924703089,0.0018048397094323947,8.10490297822733,299,300
28,Liver,hepatocyte,0.00024221327266142316,0.004640633050568076,19.15928470631321,199,200
28,Heart,endothelial cell,0.00023791709317805005,0.0020675896870979496,8.690378902497043,568,569
28,Spleen,B cell,0.00023639233854841856,0.0018932702991163322,8.009017173492479,619,619
28,Marrow,B cell,0.00015917132219545608,0.0011447448036371937,7.191903590720271,924,924
28,Heart,fibroblast,8.640867822320907e-05,0.000647834904749,7.497336124914752,1026,1026
28,Marrow,neutrophil,0.00021760308162838994,0.0018245713626833479,8.38485994329458,299,300
29,Liver,hepatocyte,0.00021947270575906132,0.0025249657585504582,11.504691436767464,199,200
29,Heart,endothelial cell,0.0002818935217290191,0.002077447860382305,7.369619023665719,568,569
29,Spleen,B cell,0.00023409035809795678,0.0017194760040171939,7.345351675260656,619,619
29,Marrow,B cell,0.00017187100714759145,0.001230356365983416,7.158603340974592,924,924
29,Heart,fibroblast,0.0001118196594286962,0.0007280228410815577,6.510687340679968,1026,1026
29,Marrow,neutrophil,0.0002637769355299428,0.0017694558104766611,6.708152124527962,299,300
30,Liver,hepatocyte,0.00023938287763184473,0.0020042958962154,8.372762145912025,199,200
30,Heart,endothelial cell,0.00027424629966967527,0.0021792466134320657,7.946311822828345,568,569
30,Spleen,B cell,0.00031680318545420933,0.0017464113907808994,5.512606788587123,619,619
30,Marrow,B cell,0.00014549478719510107,0.0010257545532935796,7.050112056029164,924,924
30,Heart,fibroblast,0.0001134388564441148,0.0008648610536790645,7.624028316127595,1026,1026
30,Marrow,neutrophil,0.00021932076410484679,0.001294379862568658,5.9017661544799145,299,300
31,Liver,hepatocyte,0.00021412841796903287,0.004953347015719385,23.132599879553286,199,200
31,Heart,endothelial cell,0.00026535226792722636,0.001668547512675327,6.288046926107038,568,569
31,Spleen,B cell,0.0003102838077004067,0.0009901068045631953,3.190971555690038,619,619
31,Marrow,B cell,0.0001632498592963077,0.0014758321915862651,9.040327495214232,924,924
31,Heart,fibroblast,0.00010054506963196071,0.0008643855372838657,8.596995759691628,1026,1026
31,Marrow,neutrophil,0.00020544512048362374,0.001982192660686187,9.648282986814428,299,300
32,Liver,hepatocyte,0.0004108945429525802,0.0044365159012616645,10.797213001131695,199,200
32,Heart,endothelial cell,0.0002752237880848013,0.0016821267010819112,6.1118506971629145,568,569
32,Spleen,B cell,0.0002572282113885607,0.0016865405430133776,6.556592427825668,619,619
32,Marrow,B cell,0.00018036759828312317,0.0016203845258834053,8.983789446150336,924,924
32,Heart,fibroblast,0.00011755488598166633,0.0004957881043645982,4.217503170748007,1026,1026
32,Marrow,neutrophil,0.00021888773284964647,0.0015675651011405924,7.161502751811814,299,300
33,Liver,hepatocyte,0.00029994880805358484,0.00329628871555249,10.989504298892294,199,200
