series,rep,omega,k_f,k_n,k_total,cosine,eta
baseline,148,15.91111822690092,0.046422923530541144,0.002917640537171921,0.00385770698426814,0.014220245517945651,
baseline,149,7.9001574058565325,0.020396884995730096,0.0025818327341945754,0.002341452326023964,0.01191479910306259,
baseline,150,15.78372001071723,0.03734308211956855,0.0023659240086755465,0.0028516378024881937,0.012779967735293774,
baseline,151,15.938344250490816,0.03816690716131247,0.002394659480399737,0.002917958396039926,0.012418802391024442,
baseline,152,9.05061718101815,0.023399624039072118,0.0025854174992781843,0.0024576554653851818,0.012147034578447014,
baseline,153,12.377148725065826,0.02927313799413754,0.0023650954387301228,0.0027450497164085877,0.012223887464979044,
baseline,154,13.284257237496735,0.0293350123100136,0.002208253859102584,0.002658550296087819,0.0119282251406726,
baseline,155,21.195564240148904,0.05254302366100459,0.002478963195585845,0.0031143883336194533,0.01344352976321772,
baseline,156,9.027206814517678,0.02337826665870972,0.002589756404064264,0.002727554375817556,0.011969280600113374,
baseline,157,9.339675857427293,0.02373183757319863,0.0025409701509422405,0.002599763509813437,0.012438300962224313,
baseline,158,7.651713356288134,0.023905358207069446,0.0031241837081395843,0.00266113448816984,0.01294607620231869,
baseline,159,17.72679016578542,0.03975742692561435,0.002242787698945655,0.0028492338231615438,0.012123598047693585,
baseline,160,12.156403924518116,0.02904386666989932,0.0023891824301199033,0.0029584081289054792,0.012573394163346685,
baseline,161,8.423157846276041,0.023388844374779755,0.002776731102708729,0.0026187553704205366,0.012220515936607779,
baseline,162,14.535981510800838,0.03501469140804818,0.002408828834986534,0.0026960884946644085,0.013172728821553958,
baseline,163,10.051798252297917,0.02509013908062684,0.002496084625941537,0.0029328671543532507,0.011991871530808162,
baseline,164,19.93579907723205,0.05239393878534443,0.0026281333686384127,0.0034081233477343143,0.014745922924084165,
baseline,165,9.53880554056453,0.024309706458324525,0.0025485063465174504,0.0030568312016484326,0.013015201925698605,
baseline,166,11.047075898598594,0.028677135591180423,0.0025959028302519707,0.002683751966170141,0.012826470316665395,
baseline,167,20.79531938841928,0.04979593449050597,0.0023945741616373953,0.0033204673116118966,0.013430604368633747,
baseline,168,8.979767681227772,0.02424459445251155,0.0026999133288486896,0.003138638882441234,0.013647527326482667,
baseline,169,7.684689918454289,0.020285630377400644,0.0026397461176261654,0.002402498922148018,0.012228218386432732,
baseline,170,20.216271615584564,0.04765539048843063,0.0023572788986320043,0.0034058483729683727,0.013762697637529797,
baseline,171,12.389373262809572,0.029506342896542016,0.0023815847880791657,0.0023553687180211044,0.012526927939657373,
baseline,172,8.341158882317341,0.02000551006518273,0.002398408943821101,0.002245109818917047,0.011115506387501473,
baseline,173,8.797441778089434,0.02206578702869934,0.0025082049515412004,0.002638541562228377,0.0123647503167289,
baseline,174,19.574520635691368,0.0499597858653114,0.00255228655634186,0.0034403324394393555,0.014165789435416909,
baseline,175,12.042375719114787,0.026221551813130635,0.002177440101915217,0.002598925848559686,0.01190525205876769,
baseline,176,17.801395279808542,0.048397094117263624,0.002718724760421372,0.0033291794937424174,0.014607797579225257,
baseline,177,9.493303996121625,0.02175700452734521,0.0022918263795443368,0.0027595280392097494,0.011945346469737772,
baseline,178,8.737812776279757,0.024392043086225376,0.0027915502095034158,0.002641122771469721,0.012763338878953978,
baseline,179,10.627397668584267,0.027088069348054144,0.002548890160394524,0.0037253546300146006,0.014203202820738947,
baseline,180,7.280319711364467,0.018568618592054734,0.002550522412232722,0.0021529377562579622,0.011289658158327831,
baseline,181,19.7567567301431,0.04944793170922022,0.002502836492073467,0.0031810288411598534,0.013146228042961283,
baseline,182,8.795177571836975,0.02211087662641776,0.0025139772842357345,0.0024378617988359145,0.012042788359163614,
baseline,183,7.903888145700053,0.020095351646868643,0.0025424640729260705,0.0023203594799238174,0.011873874466891254,
baseline,184,8.326577458420548,0.020581323552963778,0.002471762696706818,0.00227664014804724,0.011574508053093346,
baseline,185,18.193911805020168,0.043501467617104335,0.002390990353437965,0.003215835109828491,0.012698609773054259,
baseline,186,11.83462876202564,0.030498079298048063,0.0025770203621349546,0.003432957542076595,0.014491487089189348,
baseline,187,13.581465491971219,0.03424733384579227,0.0025216228591853967,0.002899685257856883,0.01245935587393987,
baseline,188,7.701931761531474,0.0174964564366059,0.002271697150576527,0.0020210209195189763,0.010096066798769954,
baseline,189,10.504316525532095,0.022460431426314646,0.002138209694245377,0.002624323875033446,0.011708378464170943,
baseline,190,16.067710782461777,0.038700640396346936,0.0024085970254449345,0.003106455306667956,0.013552383020162484,
baseline,191,17.780760240777845,0.04286569934085177,0.002410791145057167,0.0026743969994709894,0.01278855684647151,
baseline,192,9.624512562161673,0.02756156638198957,0.0028636843896226597,0.0031827045716848108,0.014041697003115083,
baseline,193,26.95531441869973,0.05572454145514021,0.0020672933206997723,0.0030579273540126293,0.011874742191050225,
baseline,194,9.669911591208303,0.02679285713055305,0.0027707447868409265,0.003636556272974997,0.014404980294855596,
