cancer,pair_type,sample_a,sample_b,kn,kf,omega,d_immune,d_stromal,d_epithelial,d_overall
TCGA-LUAD,TT,TCGA-44-2659-01,TCGA-49-4505-01,0.003774866669698043,0.4762595293402756,126.16592081605157,0.15350044,0.19039088,0.30995712,0.21794946
TCGA-LUAD,TT,TCGA-55-7903-01,TCGA-73-4668-01,0.003163575775878866,0.4998715802359063,158.00841062422097,0.8298614,0.84548634,0.17655209,0.6173
TCGA-LUAD,TT,TCGA-50-6593-01,TCGA-55-6969-01,0.002343483182051638,0.3715125752179351,158.53007952576334,1.3070984,0.14085001,0.56471014,0.6708862
TCGA-LUAD,TT,TCGA-05-4432-01,TCGA-50-6592-01,0.004109471231613853,0.4812943794825957,117.11832310201717,0.2677757,0.36445943,0.35113508,0.32779008
TCGA-LUAD,TT,TCGA-73-4666-01,TCGA-KN-8419-01,0.008820512231135079,0.5619631901111345,63.710947322026165,2.6961763,2.692609,1.8484994,2.4124281
TCGA-LUAD,TT,TCGA-78-7159-01,TCGA-NJ-A55O-01,0.0030286715650583644,0.5292366648072295,174.7421776969834,0.4942748,0.78058034,0.11140685,0.4620873
TCGA-LUAD,TT,TCGA-50-5045-01,TCGA-55-7903-01,0.006227895914040053,0.5134752456860237,82.44762802288564,0.57197934,0.9013645,0.101157546,0.5248338
TCGA-LUAD,TT,TCGA-86-6851-01,TCGA-KN-8419-01,0.008534068523988546,0.4725796098635274,55.37565213299448,3.3387434,2.8435583,1.637747,2.6066828
TCGA-LUAD,TT,TCGA-67-3772-01,TCGA-75-6207-01,0.00931847000204767,0.557003754403158,59.774164029155024,0.76257527,0.3715916,0.020190805,0.3847859
TCGA-LUAD,TT,TCGA-05-5420-01,TCGA-MP-A4T8-01,0.012450677219805646,0.6145939972906511,49.36229463189351,1.9738927,0.6378698,0.6860398,1.0992675
TCGA-LUAD,TT,TCGA-44-6775-01,TCGA-86-8673-01,0.008961830885576562,0.5024665089194509,56.067394635635836,0.33141026,0.40256146,0.11641998,0.2834639
TCGA-LUAD,TT,TCGA-50-6673-01,TCGA-55-7574-01,0.0031759940684452145,0.46811222503062233,147.3907743347214,1.3942612,0.32558548,0.32599637,0.6819477
TCGA-LUAD,TT,TCGA-44-7672-01,TCGA-KN-8431-01,0.010153546114272731,0.43377357934792826,42.721387628128994,3.5415254,5.3780413,1.8679366,3.5958347
TCGA-LUAD,TT,TCGA-05-4390-01,TCGA-L4-A4E5-01,0.00577501725932579,0.5879659756157098,101.81198587177079,0.21648607,0.3335541,0.006946832,0.18566231
TCGA-LUAD,TT,TCGA-05-4427-01,TCGA-50-8457-01,0.003631843145858721,0.5139242330337825,141.50507397870268,0.4841472,0.25563663,0.24871717,0.32950035
TCGA-LUAD,TT,TCGA-44-7671-01,TCGA-64-1681-01,0.0032368051921307078,0.47336389958946046,146.24417334113855,0.975376,0.12800992,0.08007777,0.3944879
TCGA-LUAD,TT,TCGA-44-A479-01,TCGA-55-8508-01,0.004119691813654825,0.3880557268270006,94.19532925758666,0.8049704,0.6267369,0.16905564,0.53358763
TCGA-LUAD,TT,TCGA-05-4418-01,TCGA-55-A494-01,0.0062680224393887275,0.6714172578657334,107.11787718666999,2.5801067,0.14213125,0.09885371,0.9403639
TCGA-LUAD,TT,TCGA-05-4424-01,TCGA-86-8585-01,0.006225657063798821,0.5127361094979235,82.35855336128297,0.7491256,0.3238027,0.01992619,0.36428484
TCGA-LUAD,TT,TCGA-44-5643-01,TCGA-86-8281-01,0.006640581652172812,0.5502716578851523,82.86497880876178,0.52238965,0.8794128,0.04707086,0.48295775
TCGA-LUAD,TT,TCGA-73-4676-01,TCGA-KN-8423-01,0.0101294356890947,0.5940088470170821,58.641849876848426,0.8085398,3.7654715,0.47406858,1.6826934
TCGA-LUAD,TT,TCGA-05-4434-01,TCGA-97-A4M6-01,0.002896562577539271,0.3986507164527865,137.6288983169333,0.09011197,0.057629585,0.18040204,0.1093812
TCGA-LUAD,TT,TCGA-73-A9RS-01,TCGA-TQ-A7RH-01,0.00696678479342439,0.6503182140691754,93.3455293011174,2.5059993,2.059749,4.2569256,2.9408913
TCGA-LUAD,TT,TCGA-55-A492-01,TCGA-KN-8428-01,0.012852017993189555,0.603659699249578,46.97003222135736,0.4054926,0.5784996,1.3214142,0.76846886
