scenario,n_genes_shifted,fold,rep,seed,cell_type,is_target,cki_omega,cki_k_n,cki_k_f,meld_auc_within_type,scdist_approx_dist
effect,100,8.0,14,100056,NK cells,False,6.359269783224859,0.00836999796867666,0.053227075167858934,0.579,6.4445157114714045
effect,100,8.0,15,100057,B cells,False,6.752460795150187,0.005917442248173869,0.03995729678835943,0.5786,4.919397133054218
effect,100,8.0,15,100057,CD14+ Monocytes,True,27.89406223428702,0.005778334179699635,0.16118121321904946,1.0,95.75462593662188
effect,100,8.0,15,100057,CD4 T cells,False,33.54765988398264,0.0061610408411633105,0.20668850267067304,0.5324,3.131727957383829
effect,100,8.0,15,100057,CD8 T cells,False,37.37758179279155,0.0066922416134046515,0.25013980828215565,0.4978,3.418800691448911
effect,100,8.0,15,100057,FCGR3A+ Monocytes,False,16.495225497524,0.0030254883066327684,0.04990611185802955,0.4592,8.156548049768599
effect,100,8.0,15,100057,NK cells,False,26.713346889783352,0.008900447269947907,0.23776073539634363,0.6056,5.144118784444694
effect,100,8.0,16,100058,B cells,False,6.265974578362768,0.006482296854110623,0.04061790729725811,0.4936,3.627633422574847
effect,100,8.0,16,100058,CD14+ Monocytes,True,29.541217006245486,0.006129660948849266,0.18107764426466477,1.0,97.12067605921035
effect,100,8.0,16,100058,CD4 T cells,False,9.277975185237333,0.005615558305494504,0.05210101060963142,0.581,5.438996593363424
effect,100,8.0,16,100058,CD8 T cells,False,51.25390878622049,0.007510333163186613,0.3849339309000935,0.5728,4.560572273593478
effect,100,8.0,16,100058,FCGR3A+ Monocytes,False,26.26516860564899,0.002867098351625711,0.0753048216144276,0.5559,11.53332648515954
effect,100,8.0,16,100058,NK cells,False,7.305410916954066,0.007882861042685398,0.05758753911806582,0.5337,3.5280826051191414
effect,100,8.0,17,100059,B cells,False,13.082945527370832,0.005450096795282593,0.0713033194915805,0.5883,8.0847092000337
effect,100,8.0,17,100059,CD14+ Monocytes,True,54.8902055953825,0.0031265442493883465,0.1716166566519872,1.0,116.02926165324159
effect,100,8.0,17,100059,CD4 T cells,False,12.471115517917772,0.006605659148225043,0.08237993830950482,0.5744,4.21830010310542
effect,100,8.0,17,100059,CD8 T cells,False,6.078567506220264,0.007064582664303531,0.04294254262824243,0.5388,5.72794102785709
effect,100,8.0,17,100059,FCGR3A+ Monocytes,False,7.426145183357081,0.002993998228830827,0.022233865526011677,0.4645,6.630084394389999
effect,100,8.0,17,100059,NK cells,False,6.436314936474947,0.00838239728547817,0.053951748851990194,0.5488,4.590279463567316
effect,100,8.0,18,100060,B cells,False,7.248856553658854,0.005598841641291297,0.04058519992437251,0.5392,5.619943666666962
effect,100,8.0,18,100060,CD14+ Monocytes,True,36.191264750706644,0.00499357002914008,0.18072361497580253,1.0,114.28861511626289
effect,100,8.0,18,100060,CD4 T cells,False,25.04085423951379,0.005646810319902749,0.14140095413886697,0.6208,6.655548730341699
effect,100,8.0,18,100060,CD8 T cells,False,6.4907145637605606,0.0068957729253395425,0.044758493754887135,0.5251,3.3616297068456844
effect,100,8.0,18,100060,FCGR3A+ Monocytes,False,12.588521281041292,0.0029093516392578182,0.03662443502482941,0.4807,8.79919646070594
effect,100,8.0,18,100060,NK cells,False,6.9155731572273265,0.008451940466435926,0.0584500126161677,0.5526,5.270477745674554
effect,100,8.0,19,100061,B cells,False,16.59396634752483,0.0066947102394251425,0.11109179641945072,0.5218,4.3616806561186365
effect,100,8.0,19,100061,CD14+ Monocytes,True,33.19439987311159,0.004734312771561474,0.15715267126359078,1.0,117.30014701852302
effect,100,8.0,19,100061,CD4 T cells,False,6.372325508723458,0.00597461681017252,0.03807220310431032,0.5839,6.450893755919264
effect,100,8.0,19,100061,CD8 T cells,False,51.06879449628992,0.007395954323950949,0.3777024714737979,0.569,3.7669228003214217
effect,100,8.0,19,100061,FCGR3A+ Monocytes,False,8.913451370384792,0.0026403472397756892,0.02353460672267032,0.4709,3.877582998689789
effect,100,8.0,19,100061,NK cells,False,6.015614207823045,0.009023256884122793,0.05428043231296617,0.5403,5.334869366276414
effect,500,2.0,0,500042,B cells,False,17.632578201881174,0.005236448569072636,0.09233208889430203,0.5669,4.136186307476325
effect,500,2.0,0,500042,CD14+ Monocytes,True,4.658186196173356,0.005771359169347208,0.026884065615811692,1.0,44.64505790346338
effect,500,2.0,0,500042,CD4 T cells,False,58.16172218052056,0.00550770517089654,0.3203376180019011,0.5718,5.746622460359682
effect,500,2.0,0,500042,CD8 T cells,False,39.87594933731792,0.007577642378237517,0.3021656835709125,0.5657,4.373294866239568
effect,500,2.0,0,500042,FCGR3A+ Monocytes,False,45.06919178086983,0.0029746633769724665,0.13406567422030197,0.4932,6.4639211914654835
effect,500,2.0,0,500042,NK cells,False,32.370288643902896,0.007586883405031694,0.2455896057285128,0.594,5.228300379682339
effect,500,2.0,1,500043,B cells,False,9.161889269107911,0.005917643074287809,0.05421679058072823,0.6,6.735171499865671
effect,500,2.0,1,500043,CD14+ Monocytes,True,3.11990839755602,0.0052992480979022665,0.016533168641378045,1.0,46.611097394999184
effect,500,2.0,1,500043,CD4 T cells,False,6.77417382488073,0.005899461354675888,0.03996397668974082,0.5362,4.682057696451182
effect,500,2.0,1,500043,CD8 T cells,False,6.559672065934953,0.007951841443091787,0.052161472186993074,0.5849,4.246122955601709
effect,500,2.0,1,500043,FCGR3A+ Monocytes,False,14.858501216550465,0.0028984366954817996,0.04306642516591083,0.4554,7.709458788485875
effect,500,2.0,1,500043,NK cells,False,6.688866303346246,0.008752087227259,0.0585415413383598,0.5454,3.3016019827014795
effect,500,2.0,2,500044,B cells,False,7.469950095406425,0.006002136897370859,0.04483566308915787,0.5869,4.133791468850691
effect,500,2.0,2,500044,CD14+ Monocytes,True,7.672614448106019,0.0037694838920620324,0.02892179657213806,1.0,72.90876265630877
effect,500,2.0,2,500044,CD4 T cells,False,6.727291112671373,0.006313863704507476,0.042475199185951495,0.5746,3.966647807695707
effect,500,2.0,2,500044,CD8 T cells,False,35.24287169428064,0.007583693663397756,0.2672711427478562,0.5719,4.7174518857514665
effect,500,2.0,2,500044,FCGR3A+ Monocytes,False,56.66662885407614,0.002719778155209211,0.15412065928666424,0.5106,4.745524799438225
effect,500,2.0,2,500044,NK cells,False,28.808117308680618,0.008334148568208187,0.24009112962091406,0.614,5.368917130290662
effect,500,2.0,3,500045,B cells,False,7.528298724169652,0.005521112405531558,0.041564583478560464,0.5553,4.3254928248477675
effect,500,2.0,3,500045,CD14+ Monocytes,True,7.8580532789669295,0.004663331997567164,0.036644711294394054,1.0,58.656886190331534
effect,500,2.0,3,500045,CD4 T cells,False,23.133517119537835,0.007152748625893597,0.16546823278886025,0.5443,9.323922526710705
effect,500,2.0,3,500045,CD8 T cells,False,6.79000115545863,0.007508369511748151,0.050981837660380294,0.5803,5.252711709982902
effect,500,2.0,3,500045,FCGR3A+ Monocytes,False,8.692537825013085,0.0029729714895270322,0.025842667125399222,0.502,7.812394160862454
effect,500,2.0,3,500045,NK cells,False,6.937354971412921,0.008394459833867881,0.05823534766080943,0.4905,6.797531049602946
effect,500,2.0,4,500046,B cells,False,15.46454791767933,0.006146477585829617,0.09505249715100407,0.5798,3.48288700244014
effect,500,2.0,4,500046,CD14+ Monocytes,True,4.833293896808186,0.0054033715323824096,0.026116082649651,1.0,51.50272697998925
effect,500,2.0,4,500046,CD4 T cells,False,7.876782870536912,0.005315558554668247,0.041869500570746794,0.5826,2.1162290716318246
effect,500,2.0,4,500046,CD8 T cells,False,38.09684931217913,0.007720085535822361,0.2941109353353582,0.5317,5.841297931554977
effect,500,2.0,4,500046,FCGR3A+ Monocytes,False,47.702620129778225,0.0030745929316897415,0.14666613867409692,0.4606,8.661055703125975
effect,500,2.0,4,500046,NK cells,False,29.297150097061998,0.008028941863738537,0.23522511490253262,0.5331,4.1449742839660475
effect,500,2.0,5,500047,B cells,False,6.579970656212641,0.0070468033309772264,0.04636775913793165,0.5312,10.487664527633132
effect,500,2.0,5,500047,CD14+ Monocytes,True,4.868259916676068,0.0051154274265357525,0.024903230297269416,1.0,59.045277781596866
effect,500,2.0,5,500047,CD4 T cells,False,7.463714134920222,0.005633646612183434,0.04204792785049892,0.5664,7.823708942109922
effect,500,2.0,5,500047,CD8 T cells,False,40.26044078770116,0.006901292376684791,0.2778490730901314,0.6302,5.62318508781564
effect,500,2.0,5,500047,FCGR3A+ Monocytes,False,25.282127661769575,0.002869862360222594,0.07255622656285496,0.5142,5.128776437715004
effect,500,2.0,5,500047,NK cells,False,30.60758390326741,0.007644452958565653,0.23397823532387904,0.5226,3.677301336404293
effect,500,2.0,6,500048,B cells,False,5.193200117746547,0.006562029108324641,0.034077930338007795,0.6091,6.440988256518545
effect,500,2.0,6,500048,CD14+ Monocytes,True,4.466477168012915,0.0056036553878067935,0.0250285988470516,1.0,39.45433510505551
effect,500,2.0,6,500048,CD4 T cells,False,31.946136078186182,0.006180420562369835,0.19744055630588672,0.5277,3.858009076090772
effect,500,2.0,6,500048,CD8 T cells,False,38.68751434358259,0.007313502009555575,0.2829412138965014,0.5852,4.027784431487002
effect,500,2.0,6,500048,FCGR3A+ Monocytes,False,14.333672000702526,0.002818994271664139,0.04040653926189308,0.527,5.744738769203284
effect,500,2.0,6,500048,NK cells,False,7.375771273094171,0.007875014969607592,0.05808430918801824,0.6031,9.08331369940996
effect,500,2.0,7,500049,B cells,False,42.77586920499014,0.005579087456197568,0.23865031530950834,0.6201,3.251428175157823
effect,500,2.0,7,500049,CD14+ Monocytes,True,3.1608595521339393,0.0057783275315569,0.018264481773480154,1.0,42.316383712582216
effect,500,2.0,7,500049,CD4 T cells,False,6.452320889312882,0.005759388259875682,0.03716142117885923,0.5631,2.5975113853895744
effect,500,2.0,7,500049,CD8 T cells,False,6.246729933385818,0.00746726705769445,0.04664600064988576,0.6305,3.4768993323368766
effect,500,2.0,7,500049,FCGR3A+ Monocytes,False,11.182637877311864,0.002913961901715622,0.03258578073516882,0.5505,13.557091199660702
effect,500,2.0,7,500049,NK cells,False,26.584609639798217,0.008761860430134587,0.2329306392535225,0.6177,5.812901126801463
effect,500,2.0,8,500050,B cells,False,32.294111354401586,0.005436078673563091,0.17555333001533413,0.5407,5.247413833006094
