design,cell_type,n_per_condition,rep,donor,omega,perm_P,detected
C1_donor_paired,CD8 T cells,50,6,1016,9.679525099137694,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,6,1256,11.559165190334262,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,7,101,27.39121093446673,0.7128712871287128,False
C1_donor_paired,CD8 T cells,50,7,1015,15.72467789689202,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,7,1016,12.655506075303045,0.33663366336633666,False
C1_donor_paired,CD8 T cells,50,7,1256,14.711134255526796,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,8,101,11.226167273210274,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,8,1015,16.315986610439005,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,8,1016,11.11186545033802,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,8,1256,12.375201329098655,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,9,101,13.485945283655107,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,9,1015,14.18592558155046,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,9,1016,14.086290227102367,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,9,1256,14.597334830547979,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,10,101,28.899112446583043,0.39603960396039606,False
C1_donor_paired,CD8 T cells,50,10,1015,14.624841503530591,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,10,1016,11.549478856798114,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,10,1256,12.395991165468246,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,11,101,29.406319230353375,0.16831683168316833,False
C1_donor_paired,CD8 T cells,50,11,1015,13.38099595830473,0.009900990099009901,True
